- Steven Spewak
+ Carol Spradling
+ Robert Sproull
+ Rohini Kesavan Srihari
+ Sargur Srihari
+ Maciej Stachowiak
+ Richard Stallman
+ Ronald Stamper
+ Richard E. Stearns
+ Guy L. Steele, Jr.
- Thomas Sterling
+ W. Richard Stevens
+ Larry Stockmeyer
+ Michael Stonebraker
- Olaf Storaasli
- Christopher Strachey
- Bjarne Stroustrup
+ Madhu Sudan
+ Gerald Jay Sussman
+ Bert Sutherland
- Ivan Sutherland
+ Mario Szegedy
+ Roberto Tamassia
+ Andrew S. Tanenbaum
+ Bernhard Thalheim
- Éva Tardos
- Gábor Tardos
+ Robert Tarjan
+ Valerie Taylor
+ Jaime Teevan
- Shang-Hua Teng
+ Larry Tesler
- Avie Tevanian
+ Charles P. Thacker
+ Daniel Thalmann
+ Ken Thompson
+ Sebastian Thrun
- Walter F. Tichy
+ Seinosuke Toda
+ Linus Torvalds
+ Godfried Toussaint
- Gloria Townsend
+ Edwin E. Tozer
- Joseph F Traub
+ John Tukey
+ Murray Turoff
- Alan Turing
- Jeffrey D. Ullman
- Umar Saif
+ Leslie Valiant
- Vladimir Vapnik
- Srinidhi Varadarajan
+ Moshe Vardi
+ Dorothy Vaughan
- Umesh Vazirani
+ Vijay Vazirani
- Manuela M. Veloso
- François Vernadat
+ Richard Veryard
+ Paul Vitanyi
- Jeffrey Scott Vitter
+ Paul Vixie
+ David Wagner
+ Larry Wall
+ David Waltz
- James Z. Wang
- Steve Ward
+ Manfred K. Warmuth
- David H. D. Warren
+ Kevin Warwick
+ Jan Weglarz
+ Peter Wegner
- Peter J. Weinberger
+ Mark Weiser
+ Joseph Weizenbaum
+ David Wheeler
- Franklin H. Westervelt
- Steve Whittaker
+ Jennifer Widom
+ Gio Wiederhold
+ Norbert Wiener
+ Adriaan van Wijngaarden
- Mary Allen Wilkes
- Maurice Vincent Wilkes
+ Yorick Wilks
+ James H. Wilkinson
+ Sophie Wilson
- Shmuel Winograd
+ Terry Winograd
+ Patrick Winston
+ Niklaus Wirth
+ Neil Wiseman
- Dennis E. Wisnosky
- Stephen Wolfram
+ Mike Woodger
- Beatrice Helen Worsley
- Steve Wozniak
+ Jie Wu
+ William Wulf
+ Mihalis Yannakakis
- Andrew Chi-Chih Yao
+ John Yen
- Edward Yourdon
+ Moti Yung
+ Lotfi Zadeh
+ Hans Zantema
- Arif Zaman
- Shlomo Zilberstein
+ Konrad Zuse
