+ Dan Ingalls
+ Mary Jane Irwin
+ Kenneth E. Iverson
- Ivar Jacobson
- Anil K. Jain
+ Ramesh Jain
+ Jonathan James
+ David S. Johnson
+ Stephen C. Johnson
- Cliff Jones
- Michael I. Jordan
+ Mathai Joseph
- Aravind K. Joshi
+ Bill Joy
+ Dan Jurafsky
+ William Kahan
- Robert E. Kahn
- Avinash Kak
+ Poul-Henning Kamp
+ David Karger
+ Richard Karp
+ Narendra Karmarkar
+ Marek Karpinski
- Alan Kay
+ Neeraj Kayal
- John George Kemeny
+ Ken Kennedy
- Brian Kernighan
+ Carl Kesselman
- Gregor Kiczales
- Peter T. Kirstein
- Stephen Cole Kleene
+ Dan Klein
+ Leonard Kleinrock
+ Donald Knuth
- Andrew Koenig
+ Daphne Koller
+ Michael Kölling
- Andrey Nikolaevich Kolmogorov
- Janet L. Kolodner
+ David Korn
+ Kees Koster
+ Robert Kowalski
+ John Koza
+ John Krogstie
+ Joseph Kruskal
- Thomas E. Kurtz
- Monica S. Lam
+ Leslie Lamport
+ Butler W. Lampson
- Peter J. Landin
+ Tom Lane
- Börje Langefors
- Chris Lattner
- Steve Lawrence
- Edward D. Lazowska
+ Joshua Lederberg
- Manny M Lehman
+ Charles E. Leiserson
+ Douglas Lenat
+ Yann LeCun
+ Rasmus Lerdorf
+ Max Levchin
+ Leonid Levin
+ Kevin Leyton-Brown
- J.C.R. Licklider
+ David Liddle
+ John Lions
- Richard J. Lipton
+ Barbara Liskov
- Patricia D. Lopez
+ Gillian Lovegrove
- Ada Lovelace
+ Eugene Luks
+ Nancy Lynch
- Nadia Magnenat Thalmann
+ Tom Maibaum
+ Zohar Manna
+ James Martin
- Robert C. Martin
+ John Mashey
+ Yuri Matiyasevich
+ Yukihiro Matsumoto
+ John Mauchly
+ Derek McAuley
+ John McCarthy
- Andrew McCallum
+ Douglas McIlroy
- Chris McKinstry
- Marshall Kirk McKusick
+ Lambert Meertens
+ Bertrand Meyer
+ Silvio Micali
+ Robin Milner
+ Jack Minker
+ Marvin Minsky
- Tom M. Mitchell
+ Paul Mockapetris
- Cleve Moler
- John P. Moon
- Edward F. Moore
+ Gordon Moore
+ J Strother Moore
+ Hans Moravec
+ Carroll Morgan
- Robert Tappan Morris
+ Joel Moses
+ Rajeev Motwani
- Stephen Muggleton
