+ Peter Eades
- Annie J. Easley
+ Wim Ebbinkhuijsen
- John Presper Eckert
- Brendan Eich
- Philip Emeagwali
+ E. Allen Emerson
+ Douglas Engelbart
+ David Eppstein
- Andrey Ershov
+ Don Estridge
- Oren Etzioni
- Christopher Riche Evans
+ David C. Evans
- Shimon Even
- Scott Fahlman
- Edward Feigenbaum
- Edward Felten
+ Tim Finin
+ Raphael Finkel
+ Donald Firesmith
+ Gary William Flake
+ Tommy Flowers
+ Robert Floyd
+ Sally Floyd
- Lawrence J. Fogel
+ James D. Foley
+ Ken Forbus
+ Lance Fortnow
+ Martin Fowler
- Herbert W. Franke
- Edward Fredkin
+ Yoav Freund
- Daniel P. Friedman
+ Ping Fu
+ Richard Gabriel
- V. K. Govindan
- Zvi Galil
+ Bernard Galler
+ Hector Garcia-Molina
+ Michael Garey
+ Hugo de Garis
+ Bill Gates
+ David Gelernter
- Charles Geschke
+ Zoubin Ghahramani
+ Juan E. Gilbert
+ Lee Giles
+ Seymour Ginsburg
- Robert L. Glass
+ Kurt Gödel
+ Joseph Goguen
- Adele Goldberg
- Andrew V. Goldberg
+ Ian Goldberg
- Oded Goldreich
- Shafi Goldwasser
+ Gene Golub
- Martin Charles Golumbic
+ Gastón Gonnet
+ James Gosling
+ Paul Graham
- Robert M. Graham
- Susan L. Graham
+ Jim Gray
- Sheila Greibach
+ Ralph Griswold
+ Bill Gropp
+ Tom Gruber
- Ramanathan V. Guha
+ Neil J. Gunther
- Peter G. Gyarmati
+ Philipp Matthäus Hahn
- Eldon C. Hall
+ Wendy Hall
+ Joseph Halpern
+ Margaret Hamilton
+ Richard Hamming
+ Jiawei Han
+ Juris Hartmanis
+ Johan Håstad
+ Les Hatton
- Igor Hawryszkiewycz
+ He Jifeng
- Eric Hehner
+ Martin Hellman
- Alex Helwani
+ Gernot Heiser
+ James Hendler
- John L. Hennessy
- Andrew Herbert
+ Carl Hewitt
+ Danny Hillis
+ Geoffrey Hinton
+ Julia Hirschberg
+ C. A. R. Hoare
+ Betty Holberton
+ John Henry Holland
+ Herman Hollerith
+ Gerard Holzmann
+ John Hopcroft
- Admiral Grace Hopper
- Eric Horvitz
- Alston Householder
+ Paul Hudak
+ David A. Huffman
+ John Hughes
+ Watts Humphrey
+ Jean Ichbiah
